,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-05-01,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-02,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-03,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-04,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-05,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-06,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-07,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-08,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-09,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-10,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-11,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-12,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-13,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
2023-05-14,137,1,56,,,68,2,,,2,284,184,337,2,90,13034,8,26,51551,758079,,467271,7,23,191,,3,,215,,,,,190
