,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-07-01,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-02,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-03,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-04,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-05,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-06,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-07,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-08,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-09,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-10,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-11,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-12,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-13,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-14,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-15,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-16,,,,,,,,,,,15,1,,1,,45,,,,,,,,1,,,,,,,,,,
2023-07-17,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-18,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-20,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-21,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-22,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-23,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-25,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-26,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-27,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-28,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-29,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
2023-07-30,37,,,,,,,,,,49,41,22,3,11,6606,,,44598,591423,13,466689,,74,80,,,,6,,,,,
