,Total
2023-07-01,1240321
2023-07-02,1240321
2023-07-03,1240321
2023-07-04,1240321
2023-07-05,1240321
2023-07-06,1240321
2023-07-07,1240321
2023-07-08,1240321
2023-07-09,1240321
2023-07-10,1240321
2023-07-11,1240321
2023-07-12,1240321
2023-07-13,1240321
2023-07-14,1240321
2023-07-15,1240321
2023-07-16,1240321
2023-07-17,1511693
2023-07-18,1511693
2023-07-20,1511693
2023-07-21,1511693
2023-07-22,1511693
2023-07-23,1511693
2023-07-25,1511693
2023-07-26,1511693
2023-07-27,1511693
2023-07-28,1511693
