,Total
2023-10-01,144
2023-10-02,144
2023-10-03,144
2023-10-04,144
2023-10-05,144
2023-10-06,144
2023-10-07,144
2023-10-08,144
2023-10-09,144
2023-10-10,144
2023-10-11,144
2023-10-12,144
2023-10-13,144
2023-10-14,144
2023-10-15,144
2023-10-16,144
2023-10-17,1015346
2023-10-18,1015346
2023-10-19,1015346
2023-10-20,1015346
2023-10-21,1015346
2023-10-22,1015346
2023-10-23,1015346
2023-10-24,1015346
2023-10-25,1015346
2023-10-26,1015346
2023-10-27,1015346
2023-10-28,1015346
2023-10-29,1015346
2023-10-30,1015346
2023-10-31,1015346
